gene_symbol,logfc,pval,pval_adj,scores,ensembl_id
FKBP5,,0.0,0.0,57.389923,ENSG00000096060
PEX5L,,0.0,0.0,55.421947,ENSG00000114757
ENSG00000228793,,0.0,0.0,54.466076,ENSG00000228793
SLC44A1,,0.0,0.0,53.75712,ENSG00000070214
QDPR,,0.0,0.0,51.098923,ENSG00000151552
OTUD7A,,0.0,0.0,49.389694,ENSG00000169918
ERBIN,,0.0,0.0,46.223885,ENSG00000112851
ELMO1,,0.0,0.0,45.460175,ENSG00000155849
NFIB,,0.0,0.0,42.564594,ENSG00000147862
MAN2A1,,0.0,0.0,41.86398,ENSG00000112893
CDH20,,0.0,0.0,41.559807,ENSG00000101542
CCP110,,0.0,0.0,41.29377,ENSG00000103540
ADARB2,,0.0,0.0,41.22643,ENSG00000185736
AGAP1,,0.0,0.0,40.384026,ENSG00000157985
PRKCA,,0.0,0.0,40.265163,ENSG00000154229
CEDORA,,0.0,0.0,40.063644,ENSG00000260788
MT-ND3,,0.0,0.0,39.842617,ENSG00000198840
NCAM1,,0.0,0.0,39.41281,ENSG00000149294
CPQ,,0.0,0.0,39.37981,ENSG00000104324
ANLN,,0.0,0.0,39.057888,ENSG00000011426
PLCL1,,0.0,0.0,38.595665,ENSG00000115896
SLC39A11,,0.0,0.0,38.40769,ENSG00000133195
MT-CO2,,0.0,0.0,38.3315,ENSG00000198712
FRYL,,0.0,0.0,37.90984,ENSG00000075539
MT-ATP6,,0.0,0.0,37.743492,ENSG00000198899
EFHD1,,3.963054337661504e-303,4.008409292859186e-300,37.214596,ENSG00000115468
NCAM2,,3.954923639051531e-302,3.892072420139036e-299,37.15277,ENSG00000154654
IGF1R,,8.332237510797018e-300,7.779318775465154e-297,37.008587,ENSG00000140443
PLD5,,7.340639146338197e-294,6.519203721865035e-291,36.63711,ENSG00000180287
ADIPOR2,,2.2341637204356965e-293,1.9369135568691567e-290,36.606743,ENSG00000006831
ZNF652,,9.987907079525264e-291,8.457666804178462e-288,36.439777,ENSG00000198740
ZBTB16,,1.5892829710573734e-285,1.3152038986850246e-282,36.10984,ENSG00000109906
PDE4B,,2.2637527936067074e-279,1.791907972191466e-276,35.7156,ENSG00000184588
CDKL1,,2.857977091254057e-277,2.2141417414200578e-274,35.579983,ENSG00000100490
MT-ND4,,2.8434732661435917e-275,2.1570114284754262e-272,35.45056,ENSG00000198886
PDE1C,,3.086342582297582e-273,2.2934674715636644e-270,35.318203,ENSG00000154678
MT-CYB,,4.5780075004081823e-268,3.3338881820972546e-265,34.979713,ENSG00000198727
ENSG00000273118,,1.303105189327369e-261,8.952578519582671e-259,34.552593,ENSG00000273118
MT-ND2,,1.7985478860528296e-257,1.1907041023082842e-254,34.275833,ENSG00000198763
WWOX,,7.12179093358181e-247,4.321977524559681e-244,33.55698,ENSG00000186153
CADM1,,9.772312670663646e-247,5.833269655150896e-244,33.547558,ENSG00000182985
KANK1,,1.0060414551397994e-243,5.9083841071855446e-241,33.34033,ENSG00000107104
ZNF365,,1.659786180677785e-243,9.593037208069763e-241,33.32532,ENSG00000138311
DOCK5,,2.159305957548091e-236,1.1912825534278954e-233,32.83054,ENSG00000147459
NCKAP5,,2.190257848600432e-235,1.1903234146752079e-232,32.75996,ENSG00000176771
MT-ND1,,2.2521287660450435e-227,1.1884711975251032e-224,32.192436,ENSG00000198888
HIP1,,4.44822270330417e-226,2.313838358181592e-223,32.099724,ENSG00000127946
TAFA5,,1.0342758465109783e-224,5.3042326934024986e-222,32.00165,ENSG00000219438
ZSWIM6,,3.1874759690944963e-223,1.6119774303704002e-220,31.894453,ENSG00000130449
LRP4,,3.155900939850323e-222,1.5741460961894513e-219,31.82256,ENSG00000134569
LRRC1,,2.426353481487563e-218,1.1938970671341235e-215,31.540422,ENSG00000137269
ZMYND8,,6.698384638039119e-210,3.209231334740532e-207,30.918694,ENSG00000101040
RNF220,,1.208111412201259e-207,5.639711889881057e-205,30.750393,ENSG00000187147
CADM2,,6.975485265509816e-204,3.1748921185967922e-201,30.467735,ENSG00000175161
CHKA,,4.346724056749044e-203,1.9539866216585948e-200,30.40769,ENSG00000110721
PCDH9,,8.355928348769334e-202,3.665735699221554e-199,30.310423,ENSG00000184226
NPAS3,,1.4931552091394691e-201,6.472472318474566e-199,30.291285,ENSG00000151322
SILC1,,4.198004810198994e-201,1.7983264841054797e-198,30.257177,ENSG00000232044
SLC38A2,,1.6567572620875652e-200,7.014633189201444e-198,30.21182,ENSG00000134294
USP31,,5.723404115943041e-199,2.395409088157678e-196,30.094473,ENSG00000103404
SPOCK3,,1.6959588034967904e-198,7.017414994650583e-196,30.058395,ENSG00000196104
SGK1,,3.0071452597927235e-197,1.2302940808940746e-194,29.96269,ENSG00000118515
TCF12,,1.635565580367145e-196,6.61713487914761e-194,29.906178,ENSG00000140262
NLGN1,,1.7962984675986581e-193,7.109436935021994e-191,29.671404,ENSG00000169760
SEM1,,4.82226832621472e-193,1.888047680582047e-190,29.63814,ENSG00000127922
NFKBIZ,,1.9103994649979587e-192,7.400155885053795e-190,29.59171,ENSG00000144802
PIEZO2,,6.291525360055817e-192,2.4114423306352884e-189,29.551449,ENSG00000154864
MKLN1,,6.931039225153624e-191,2.6288854194405598e-188,29.470236,ENSG00000128585
SORCS2,,2.301447921038727e-189,8.464678959683043e-187,29.351278,ENSG00000184985
MAP4K5,,1.5783050714604623e-188,5.690024184358252e-186,29.285683,ENSG00000012983
NFASC,,9.4632593450238e-187,3.3781980320686924e-184,29.145727,ENSG00000163531
NDE1,,6.286554874345218e-186,2.2223886998510493e-183,29.080763,ENSG00000072864
SORT1,,4.1570679670828715e-181,1.4554534501675145e-178,28.697014,ENSG00000134243
MT-CO3,,4.378386043913284e-178,1.518340882199719e-175,28.453758,ENSG00000198938
KANSL1,,2.193369730070783e-177,7.534431944465788e-175,28.39714,ENSG00000120071
ADAMTSL3,,2.649193205893402e-177,9.015179720840237e-175,28.3905,ENSG00000156218
EDIL3,,8.030239567099477e-177,2.682542046947029e-174,28.35146,ENSG00000164176
RFTN2,,2.0543026324793167e-176,6.80011522307608e-174,28.31835,ENSG00000162944
C10orf90,,4.921080575639628e-176,1.614291765046758e-173,28.287523,ENSG00000154493
FAM107B,,1.1397188670383356e-174,3.7053074452321317e-172,28.176355,ENSG00000065809
PHYHIPL,,1.4376023776562032e-171,4.591752436422602e-169,27.922127,ENSG00000165443
RYBP,,3.6254573738900207e-169,1.1093290243536424e-166,27.72362,ENSG00000163602
DLG2,,1.0220882414016159e-168,3.075725375695507e-166,27.686256,ENSG00000150672
L3MBTL4,,2.3667394171424685e-168,7.063747184999309e-166,27.655952,ENSG00000154655
TANC2,,5.2083953604872815e-167,1.5294200956940555e-164,27.544094,ENSG00000170921
DIP2B,,7.047212756023589e-167,2.0528248869786475e-164,27.533129,ENSG00000066084
QKI,,1.3404690750581507e-166,3.8737428540489985e-164,27.509796,ENSG00000112531
IKZF2,,1.7142500875595758e-165,4.914903479387344e-163,27.417122,ENSG00000030419
LDLRAD3,,6.933341628244466e-165,1.9723190263096678e-162,27.366175,ENSG00000179241
PDS5B,,2.3247437899599454e-164,6.561904719381514e-162,27.32199,ENSG00000083642
ACER3,,1.7574917063319823e-163,4.885021985569476e-161,27.24795,ENSG00000078124
GNAO1,,1.8170186308643232e-161,4.974532510303138e-159,27.077414,ENSG00000087258
CHD7,,1.7445387043622764e-159,4.636652795856877e-157,26.908546,ENSG00000171316
HDAC4,,9.089051001442398e-158,2.363932321889433e-155,26.761436,ENSG00000068024
PRKCE,,3.609482413152092e-156,9.321168342389643e-154,26.623701,ENSG00000171132
ZCCHC24,,4.015074373093617e-156,1.0295555498104562e-153,26.619705,ENSG00000165424
RASSF2,,1.3661052836472712e-154,3.478505285885625e-152,26.487064,ENSG00000101265
AMER2,,1.310303651530482e-152,3.3132483721894383e-150,26.314457,ENSG00000165566
USP54,,4.103653076913085e-152,1.030498040252133e-149,26.271101,ENSG00000166348
APOLD1,,2.3993400449736082e-150,5.98388833682048e-148,26.116001,ENSG00000178878
PRUNE2,,1.8226947473001018e-149,4.514827288346348e-147,26.038357,ENSG00000106772
ARHGAP5,,1.0775919745900843e-148,2.651167498565821e-146,25.970123,ENSG00000100852
PNISR,,2.4804313788313985e-148,6.021164491067259e-146,25.93805,ENSG00000132424
CLMN,,3.157021994615205e-148,7.562729267626897e-146,25.928762,ENSG00000165959
ITGB8,,1.1004400187054866e-147,2.60189752994183e-145,25.88063,ENSG00000105855
MAPT,,1.5442106358463204e-147,3.627599849834595e-145,25.867556,ENSG00000186868
PANTR1,,9.403132607314491e-146,2.180808054124428e-143,25.708452,ENSG00000233639
DST,,2.6470861416970574e-145,6.100360796928687e-143,25.668222,ENSG00000151914
FRMD5,,3.0854608707194016e-145,7.065899448090242e-143,25.66226,ENSG00000171877
TAPT1-AS1,,1.1057523140294306e-144,2.5164158286524765e-142,25.612549,ENSG00000263327
SHTN1,,5.582732615394437e-144,1.2625991303834922e-141,25.54935,ENSG00000187164
GNG7,,3.533103258319651e-142,7.892475818523629e-140,25.386742,ENSG00000176533
ERBB4,,1.803164136398792e-140,3.9792007596698675e-138,25.231604,ENSG00000178568
ALCAM,,5.461370258027274e-139,1.1979482761161994e-136,25.096275,ENSG00000170017
UGT8,,2.94861849525455e-135,6.429047703545429e-133,24.752024,ENSG00000174607
IRAK2,,1.2202580925266404e-133,2.6291146547384633e-131,24.601402,ENSG00000134070
BCL2L1,,2.319775478583946e-131,4.854463490011416e-129,24.387524,ENSG00000171552
GAB1,,5.899005624901754e-130,1.2067111955838353e-127,24.254698,ENSG00000109458
P2RX7,,1.5006472538940275e-129,3.0356426560438517e-127,24.216236,ENSG00000089041
ADGRL3,,3.4448073352723786e-129,6.929962690162312e-127,24.181957,ENSG00000150471
PLCXD1,,1.0644387687825973e-126,2.117942319612674e-124,23.944103,ENSG00000182378
FIGN,,1.6429562811000076e-126,3.2512676145333414e-124,23.925999,ENSG00000182263
CPM,,6.77573177286798e-126,1.3336105152090209e-123,23.866812,ENSG00000135678
LINC00862,,1.0998329982629515e-125,2.153070921115623e-123,23.846542,ENSG00000203721
GRIN2A,,4.3199976373022467e-125,8.411751549168418e-123,23.789204,ENSG00000183454
PHLPP1,,1.2553582203384542e-124,2.4313884850512657e-122,23.744398,ENSG00000081913
PPFIBP2,,2.5564756691292227e-124,4.925205929329802e-122,23.71448,ENSG00000166387
FAM13B,,2.8260613516543505e-123,5.3875678500753e-121,23.61312,ENSG00000031003
ENOX2,,2.1226472494996136e-122,4.0255120650406216e-120,23.527725,ENSG00000165675
LIFR,,2.382690443294345e-120,4.472088887692458e-118,23.326584,ENSG00000113594
PPP4R2,,3.0269948757957435e-119,5.652253200896134e-117,23.217558,ENSG00000163605
HP1BP3,,1.7275482471687983e-118,3.193070394716258e-116,23.14256,ENSG00000127483
ARHGAP32,,9.011204175081712e-117,1.6571513455710875e-114,22.971376,ENSG00000134909
DOCK9,,2.589972241102482e-116,4.738998454423295e-114,22.925457,ENSG00000088387
PLXDC2,,3.342637951445963e-116,6.085606654402519e-114,22.914347,ENSG00000120594
IGSF11,,2.0032581049215336e-115,3.6289867719603426e-113,22.83622,ENSG00000144847
ENSG00000260971,,2.040791542919382e-115,3.6786783000386403e-113,22.83541,ENSG00000260971
PICALM,,7.988384809573595e-114,1.4188930131033843e-111,22.674557,ENSG00000073921
KIF13B,,2.884338700334857e-113,5.098278677504505e-111,22.617973,ENSG00000197892
CDK6,,1.1336926700688968e-111,1.9751204546674004e-109,22.455385,ENSG00000105810
