gene_symbol,logfc,pval,pval_adj,scores,ensembl_id
FKBP5,4.1998057,0.0,0.0,80.392296,ENSG00000096060
PLCG2,3.711153,0.0,0.0,72.81843,ENSG00000197943
ZBTB16,1.9400679,0.0,0.0,58.71946,ENSG00000109906
SPOCK1,1.10217,0.0,0.0,52.910755,ENSG00000152377
MT-CO2,2.6227987,0.0,0.0,52.841743,ENSG00000198712
MT-ND3,3.3199744,0.0,0.0,50.824665,ENSG00000198840
DIP2C,0.98879147,0.0,0.0,50.52731,ENSG00000151240
ERBIN,0.9144503,0.0,0.0,50.146008,ENSG00000112851
MT-ND4,2.8940928,0.0,0.0,50.083954,ENSG00000198886
NEAT1,1.1334162,0.0,0.0,49.55027,ENSG00000245532
LRRC1,1.6164645,0.0,0.0,46.253498,ENSG00000137269
MT-ATP6,2.549451,0.0,0.0,45.75999,ENSG00000198899
ZNF652,1.5915204,0.0,0.0,45.71974,ENSG00000198740
XIST,12.650958,0.0,0.0,45.308105,ENSG00000229807
MT-ND2,2.908514,0.0,0.0,44.52581,ENSG00000198763
SORT1,0.9835825,0.0,0.0,44.345562,ENSG00000134243
NFASC,1.1069175,0.0,0.0,44.20574,ENSG00000163531
NCAM1,0.7215287,0.0,0.0,43.43433,ENSG00000149294
CEDORA,1.712056,0.0,0.0,43.39172,ENSG00000260788
EFHD1,1.564156,0.0,0.0,43.386803,ENSG00000115468
KAZN,1.6050266,0.0,0.0,43.375793,ENSG00000189337
OTUD7A,1.02118,0.0,0.0,43.085056,ENSG00000169918
PIP4K2A,0.5717262,0.0,0.0,42.745247,ENSG00000150867
EPCAM-DT,2.050728,0.0,0.0,42.479256,ENSG00000234690
PRUNE2,0.83494097,0.0,0.0,42.213825,ENSG00000106772
KCNMB4,1.5816867,0.0,0.0,41.423573,ENSG00000135643
BCL2,2.1907723,0.0,0.0,41.409233,ENSG00000171791
CLMN,0.88673055,0.0,0.0,41.390797,ENSG00000165959
MAN2A1,0.8116573,0.0,0.0,40.152157,ENSG00000112893
NDRG1,1.3078958,0.0,0.0,39.368904,ENSG00000104419
ELMO1,0.5742891,0.0,0.0,39.274124,ENSG00000155849
CDKL1,1.7842999,0.0,0.0,39.19105,ENSG00000100490
MT-CYB,2.2509496,0.0,0.0,39.124844,ENSG00000198727
MT-CO1,1.8866644,0.0,0.0,39.020836,ENSG00000198804
PLCL1,0.7417425,0.0,0.0,38.877453,ENSG00000115896
ATXN1,0.9576459,0.0,0.0,38.627293,ENSG00000124788
MT-ND1,2.465473,0.0,0.0,37.737335,ENSG00000198888
ENSG00000273118,2.5678794,2.7029980006952046e-299,1.7575279143091749e-296,36.9768,ENSG00000273118
PIEZO2,1.2086227,6.036671075606106e-296,3.8562678457012196e-293,36.76782,ENSG00000154864
MT-CO3,1.7468038,1.4272683696670554e-293,8.960292392468417e-291,36.618973,ENSG00000198938
JAKMIP3,1.5300145,8.626636163809396e-289,5.235217933277129e-286,36.317307,ENSG00000188385
SLC39A11,1.0369813,1.8373153929196534e-286,1.0967266899506625e-283,36.1695,ENSG00000133195
DYSF,1.6252773,9.153818687725114e-286,5.37594912995882e-283,36.125107,ENSG00000135636
LRP2,1.3114136,4.2655657782590014e-280,2.4268403299682306e-277,35.762264,ENSG00000081479
HSP90AA1,1.0523496,1.2990182535083769e-278,7.276900407191848e-276,35.666687,ENSG00000080824
APOLD1,2.1055346,4.380396627519203e-278,2.41665154547317e-275,35.632618,ENSG00000178878
PHACTR3,0.9809527,3.903078210945276e-274,2.0899835855432264e-271,35.376656,ENSG00000087495
SLC22A23,1.1510488,2.572630974613496e-267,1.3576034644583567e-264,34.93037,ENSG00000137266
MSI2,1.4275397,1.4519978329597408e-266,7.552877870532869e-264,34.88083,ENSG00000153944
HPN-AS1,1.5553391,5.288649939090712e-264,2.712258050453113e-261,34.711475,ENSG00000227392
BBS2,1.3512182,2.6772075629471313e-261,1.3539233580837632e-258,34.531765,ENSG00000125124
BCL2L1,1.4124111,2.7989062214164905e-259,1.3960790867700993e-256,34.39697,ENSG00000171552
CHST3,1.7647785,2.140100992778624e-255,1.0390047646540702e-252,34.13624,ENSG00000122863
PDE1C,0.67811275,3.64192555891867e-255,1.7448657033071922e-252,34.12067,ENSG00000154678
TAFA5,1.6614527,5.4990148640018664e-254,2.600391288675792e-251,34.04109,ENSG00000219438
DIP2B,0.65068495,2.77427631259637e-253,1.295089090952039e-250,33.993553,ENSG00000066084
PTPN13,1.3685455,5.558002905453407e-248,2.529725022417118e-245,33.63283,ENSG00000163629
IKZF2,1.4134465,8.878758237863219e-248,3.991275863667599e-245,33.618916,ENSG00000030419
KDM6A,1.0793828,1.0074379709672106e-244,4.419618240826274e-242,33.409214,ENSG00000147050
QDPR,0.9527603,2.6029530863859378e-244,1.1283181878748187e-241,33.380817,ENSG00000151552
L3MBTL4,1.1704522,5.727975010937797e-239,2.4537297188031422e-236,33.01057,ENSG00000154655
PTPRM,2.5250957,1.5578488464478048e-237,6.595859557774124e-235,32.91045,ENSG00000173482
ITGB8,1.2182158,1.2461749181145299e-231,5.0983956312793556e-229,32.49521,ENSG00000105855
PDS5B,1.2321495,1.5494689130563396e-230,6.268806895800827e-228,32.417625,ENSG00000083642
XPO1,1.3162569,1.8096716671360215e-227,7.241073048764486e-225,32.199223,ENSG00000082898
CPQ,1.0938941,9.326171232767644e-225,3.691136379647125e-222,32.00488,ENSG00000104324
TACC1,1.0677637,4.546181924613445e-223,1.7610167685002634e-220,31.88333,ENSG00000147526
ZSWIM6,0.7852935,4.765891476123601e-223,1.826690951880132e-220,31.88185,ENSG00000130449
ENSG00000286749,1.2917984,1.2104013238128322e-222,4.590951354445088e-220,31.85263,ENSG00000286749
ZDHHC20,1.0868137,5.3828054638944225e-222,2.020605284034265e-219,31.805794,ENSG00000180776
AGAP1,0.4987103,3.193902163967058e-218,1.17471076357948e-215,31.531715,ENSG00000157985
DOCK5,0.56009054,3.226633543277641e-218,1.1748818057782547e-215,31.531391,ENSG00000147459
PDK4,1.8750442,4.2452362353887606e-214,1.53047071092055e-211,31.229448,ENSG00000004799
SLC25A48,2.9528344,6.643059955376651e-212,2.3714421479919078e-209,31.067394,ENSG00000145832
BNIP3L,1.3691186,8.315596720715172e-212,2.9396845416959307e-209,31.060173,ENSG00000104765
LINC00862,1.4485028,1.0494285238116524e-210,3.639218229431418e-208,30.978525,ENSG00000203721
ADIPOR2,0.8674342,7.259370861631855e-209,2.4936623756013123e-206,30.841604,ENSG00000006831
TOB2,1.3712482,6.122967739775948e-207,2.083640199445998e-204,30.697622,ENSG00000183864
CCDC144A,1.3185015,2.5397598820784883e-205,8.562753409837214e-203,30.57616,ENSG00000170160
ARAP2,0.6177594,2.5763757244587786e-204,8.528272079908458e-202,30.500372,ENSG00000047365
DOCK9,0.7562603,1.1466376872797607e-203,3.761384817047806e-201,30.451435,ENSG00000088387
KHDRBS3,1.4316902,3.548464737920656e-201,1.1536312324747048e-198,30.262726,ENSG00000131773
SLC38A2,1.2099073,1.4463828172724354e-199,4.660680632081763e-197,30.140093,ENSG00000134294
FAM53B,1.1070058,2.321118187862079e-199,7.413732934774914e-197,30.124414,ENSG00000189319
NCKAP5,0.6377741,6.78240630031114e-198,2.147486767016776e-195,30.012299,ENSG00000176771
MKLN1,0.81811416,1.9363097283747135e-194,6.026060669194877e-192,29.746298,ENSG00000128585
ALDH3A2,1.819565,8.426526935862518e-193,2.6002262609205593e-190,29.619324,ENSG00000072210
WWOX,0.8848018,3.846922388042052e-192,1.1770935965830858e-189,29.568071,ENSG00000186153
NFIB,1.121307,5.755507715708972e-190,1.7177831716753694e-187,29.398405,ENSG00000147862
PCSK6,0.9355239,2.9652778607809985e-189,8.778186785915262e-187,29.342651,ENSG00000140479
DST,0.47039104,2.137142669731009e-186,6.22541111121964e-184,29.117796,ENSG00000151914
