gene_id,gene_symbol,log2fc,log2fc_se,pval,pval_adj,base_mean
ENSG00000096060,FKBP5,3.4806973034809907,0.3323726373424902,1.1582669654257609e-25,2.1170803594052057e-21,2817.3460196726787
ENSG00000167614,TTYH1,-1.2561932514834393,0.13485756682155195,1.2199499896376586e-20,1.1149122955298562e-16,561.2115744155418
ENSG00000183943,PRKX,3.7330109076585947,0.4146939833616728,2.21956025032802e-19,1.3523040751831851e-15,410.71348974249815
ENSG00000106236,NPTX2,3.818347000883755,0.4364542539086296,2.1608907221078745e-18,9.874190154671932e-15,228.06532398492897
ENSG00000141314,RHBDL3,2.7163170684948024,0.31659135013011047,9.496884053306948e-18,3.471680934526888e-14,196.9132473432004
ENSG00000101347,SAMHD1,2.599178575163305,0.31412534171560264,1.2917359486340255e-16,3.9350582781887867e-13,260.58754915279746
ENSG00000125458,NT5C,-2.027131896577776,0.26033961746100404,6.889622710673375e-15,1.7989789129383994e-11,74.06413524386161
ENSG00000103260,METRN,-1.6259877552131454,0.21103230461002895,1.3092173420541492e-14,2.991234322258217e-11,243.9434606422765
ENSG00000184986,TMEM121,-1.6545663557803525,0.22391202502716598,1.4753823524243139e-13,2.99633762640129e-10,48.86230011704234
ENSG00000185033,SEMA4B,2.393723275403419,0.3254628444312472,1.9117297004160083e-13,3.49425954642038e-10,302.65014092791563
ENSG00000180917,CMTR2,-1.1618515729972603,0.1592930214287717,3.0133078695891053e-13,5.007021930940879e-10,94.6488403572743
ENSG00000150938,CRIM1,1.3962268499580908,0.1918552446653147,3.4005897311026977e-13,5.179664925424592e-10,361.95704234602005
ENSG00000119403,PHF19,1.2443804137887164,0.17236986286669798,5.227667800905337e-13,7.350100928072903e-10,178.4571512410074
ENSG00000148341,SH3GLB2,-1.2874345434191206,0.18202671717203855,1.5186244075211857e-12,1.982672637190874e-09,366.3052454383113
ENSG00000113916,BCL6,2.1635330639768005,0.3094857907744946,2.7345038003461855e-12,3.3320840308485052e-09,389.6035704904072
ENSG00000173482,PTPRM,3.203314847283179,0.45990285294034794,3.279400858938793e-12,3.7463055562302035e-09,1566.0942146098168
ENSG00000106479,ZNF862,-0.8364837803843005,0.1203705041550852,3.6725371933278526e-12,3.948625577626264e-09,365.5663860564029
ENSG00000131095,GFAP,3.486036782948523,0.5110436966552515,9.015345202177706e-12,9.15458220030023e-09,58.528284731918646
ENSG00000198755,RPL10A,-1.6000156967355936,0.24118359190099667,3.266754126727408e-11,3.113456595708161e-08,172.94024868120434
ENSG00000222031,ENSG00000222031,5.14624321384456,0.7764607933584868,3.40678038703158e-11,3.113456595708161e-08,102.14939897616301
ENSG00000237994,ENSG00000237994,-1.3839554375625045,0.21022443246567818,4.603413760892365e-11,4.006723653409079e-08,137.3849554242296
ENSG00000128645,HOXD1,-2.411241867903455,0.36985877515092214,7.06088162657519e-11,5.866308835024606e-08,27.858909620557135
ENSG00000275645,ENSG00000275645,-2.159669653414226,0.33286968439364767,8.696396427856515e-11,6.910988430798321e-08,13.793156500892248
ENSG00000171791,BCL2,1.8078439599265652,0.2793928886197994,9.76045026612663e-11,7.433396248510939e-08,1807.4084284547098
ENSG00000248714,ZNF652-AS1,2.524997051687179,0.3931759584335284,1.3444812315608251e-10,9.829771180187505e-08,129.33150310875172
ENSG00000130005,GAMT,-1.5046791823737595,0.23471981773534012,1.4501157758620765e-10,1.0194313904310397e-07,130.17656817709548
ENSG00000179399,GPC5,2.414325640802028,0.3776754901449709,1.6309611852855172e-10,1.0918765343208688e-07,572.1449538193026
ENSG00000140365,COMMD4,-1.077350054504973,0.16863277885993502,1.672641588849126e-10,1.0918765343208688e-07,101.73819842400985
ENSG00000270866,ENSG00000270866,-2.378009492735524,0.3732516866183463,1.8772420250277869e-10,1.1503709918027662e-07,12.15325564653563
ENSG00000117448,AKR1A1,-1.02784770908068,0.16135313040317814,1.888123960722343e-10,1.1503709918027662e-07,95.7952243786236
ENSG00000103024,NME3,-1.7057638584208212,0.2682047450571375,2.0184348761054997e-10,1.1900952472727846e-07,253.63724606287207
ENSG00000006128,TAC1,-2.496808765511231,0.39294888305871933,2.0974668585404647e-10,1.1943074195235704e-07,16.31990526929948
ENSG00000146242,TPBG,-2.5079668944745706,0.3949692365667207,2.156261343925912e-10,1.1943074195235704e-07,7.386470804637042
ENSG00000162073,PAQR4,-1.3186227884419648,0.20793584508291105,2.2755561773622439e-10,1.223312229700797e-07,201.37750920124643
ENSG00000039319,ZFYVE16,-1.6190109558039814,0.2566928427861,2.841438978962109e-10,1.4838806187848408e-07,2137.328267517347
ENSG00000102125,TAFAZZIN,-1.0931381534145783,0.17347243943397503,2.9476149791557314e-10,1.496569627472457e-07,221.18995089201638
ENSG00000262039,ENSG00000262039,2.373186506324736,0.3772931145694797,3.173965132971237e-10,1.567938775687791e-07,177.10109100787884
ENSG00000049089,COL9A2,-1.3280531584281652,0.2126100638962632,4.1994922661395117e-10,2.019955780013105e-07,375.4696001420931
ENSG00000197982,C1orf122,-1.8845183353386104,0.30193909638501715,4.3371152218338137e-10,2.0326613339661142e-07,359.22641642790217
ENSG00000128699,ORMDL1,-1.0360856010576633,0.16650141962624093,4.887233186692749e-10,2.2332212046592517e-07,213.64682621554303
ENSG00000147571,CRH,-4.395806907265624,0.7109718233609071,6.296868792408817e-10,2.720841393938105e-07,5.259571873256688
ENSG00000229809,ZNF688,-1.0709201804825819,0.17327419450385648,6.390118265169267e-10,2.720841393938105e-07,62.198560851613735
ENSG00000213920,MDP1,-1.3379355344800627,0.21648645340978878,6.400928982347003e-10,2.720841393938105e-07,30.642862262816834
ENSG00000004799,PDK4,1.461806543349267,0.237788489035755,7.870993040806994e-10,3.269682063633415e-07,523.8629245721414
ENSG00000197858,GPAA1,-1.6442658993642398,0.2706644923993441,1.240473746166653e-09,5.038528696096463e-07,88.57751756667183
ENSG00000146425,DYNLT1,-1.086018411185484,0.17959251756429567,1.474533127884342e-09,5.859025328580435e-07,94.16899369600496
ENSG00000229807,XIST,13.59626038458154,2.257388073590187,1.7120780963243021e-09,6.658162435024595e-07,4038.11609998915
ENSG00000140990,NDUFB10,-1.3931097201275549,0.23161781707225745,1.8022957420251651e-09,6.862991994319994e-07,83.87187227008404
ENSG00000109667,SLC2A9,2.702189673824393,0.45147903517682386,2.161319144161924e-09,8.062161493263601e-07,59.900330651375114
ENSG00000257727,CNPY2,-1.368498288111097,0.22919031581805785,2.3578537583940477e-09,8.619370199185281e-07,228.2281070876349
ENSG00000117691,NENF,-1.2307399593104311,0.2065727394993746,2.5549799498742745e-09,9.156847749765096e-07,288.42725223255013
ENSG00000004059,ARF5,-2.0009849226412415,0.3366330376037521,2.7795727255362883e-09,9.770198130260053e-07,46.87003547546121
ENSG00000105355,PLIN3,1.426924610847338,0.24106076568625462,3.2320369425356886e-09,1.1146258723710815e-06,211.30588153560674
ENSG00000206077,ZDHHC11B,0.974282260909006,0.16498002384204685,3.516727802171898e-09,1.1903472364462583e-06,422.44246708968217
ENSG00000154217,PITPNC1,1.5476558261265498,0.26302445465482066,4.002843907261894e-09,1.3302541988533254e-06,249.45042951073168
ENSG00000183979,NPB,-2.59099333439013,0.44063253752846837,4.098503553183401e-09,1.3377222847336822e-06,8.020798857621807
ENSG00000169021,UQCRFS1,-1.255846019900361,0.21386034648914312,4.298639540217105e-09,1.3640978506039656e-06,77.11129912758733
ENSG00000163884,KLF15,1.7862152639717592,0.3042374994477967,4.328573987035234e-09,1.3640978506039656e-06,267.0632325453168
ENSG00000124440,HIF3A,2.7254692415952038,0.46505953299302366,4.615481608213913e-09,1.4298605565243036e-06,43.4223049229307
ENSG00000114902,SPCS1,-1.093210074903121,0.18783811246542356,5.886213621416624e-09,1.7719298704950612e-06,202.7098606360446
ENSG00000072210,ALDH3A2,1.412732575165235,0.24277157183623174,5.91354207791874e-09,1.7719298704950612e-06,474.82168151127786
ENSG00000102409,BEX4,-1.1496432368458835,0.19796315960378108,6.346576706209437e-09,1.8710117586467112e-06,267.9636218561645
ENSG00000276043,UHRF1,2.438265917878551,0.4221777118245468,7.674806462518988e-09,2.226668452728922e-06,77.92957650329964
ENSG00000186716,BCR,1.2030508003172709,0.20900671466470286,8.611050115004912e-09,2.459262093782184e-06,191.88231650398336
ENSG00000213186,TRIM59,-1.3832763121805545,0.24058910123462898,8.948734842610364e-09,2.5163842377420344e-06,1238.0593184476693
ENSG00000161970,RPL26,-1.447188469656809,0.2524010056700445,9.827036759712998e-09,2.721493604455063e-06,230.5651653386393
ENSG00000185432,METTL7A,1.660928141661799,0.29014768786133527,1.0378577342167073e-08,2.795981991874098e-06,322.1240987060243
ENSG00000023191,RNH1,-1.189515731972258,0.20781047441645373,1.0401946353399643e-08,2.795981991874098e-06,424.8153608840423
ENSG00000147604,RPL7,-1.4423830272635365,0.2521754845263232,1.0667517638981386e-08,2.8008304927159144e-06,155.17390983398172
ENSG00000221932,HEPN1,-1.8365202635956603,0.321136063822944,1.0726454452900427e-08,2.8008304927159144e-06,466.50841228008284
ENSG00000154639,CXADR,-1.1166542040389813,0.1956263263771084,1.1424576892228405e-08,2.9411044568471945e-06,473.8391002339996
ENSG00000124659,TBCC,-1.6537836523240208,0.2902784152823794,1.2176774579918467e-08,3.091209524607635e-06,36.787659102597075
ENSG00000104886,PLEKHJ1,-1.537645399034569,0.2700725908577291,1.2449604801631323e-08,3.117176391290648e-06,44.376081337973325
ENSG00000166136,NDUFB8,-1.2606945488169683,0.22251374778119862,1.4643162984618591e-08,3.616861257200792e-06,283.1119756408399
ENSG00000149809,TM7SF2,-1.3661398961676021,0.24165139107080966,1.573504173015323e-08,3.834734569916544e-06,105.65043080952532
ENSG00000189337,KAZN,1.3057162611749966,0.23197056988176215,1.8146622290840626e-08,4.36426266094717e-06,3488.275379783714
ENSG00000165915,SLC39A13,-1.3299581428658935,0.23639562299121403,1.8445276453501198e-08,4.378477441780453e-06,38.401742433703845
ENSG00000148444,COMMD3,-0.9713521743914854,0.1729834850713814,1.9623455236302637e-08,4.598429677040252e-06,141.50519253063186
ENSG00000285807,ENSG00000285807,-1.9817304156071993,0.3535972793353258,2.0887587046190677e-08,4.832700202914851e-06,18.882149803447263
ENSG00000234608,MAPKAPK5-AS1,-1.1853731650056767,0.21160761693022867,2.121973185664621e-08,4.848178235947242e-06,60.94917982505109
ENSG00000258561,ENSG00000258561,-1.8499081755605353,0.3306461227328284,2.2084063201689177e-08,4.966300873821256e-06,90.13599548409312
ENSG00000145832,SLC25A48,2.374365843618324,0.42454458244575793,2.2351880253190372e-08,4.966300873821256e-06,344.23125129160695
ENSG00000124222,STX16,-0.7261594098681438,0.1298756454644601,2.2551864127758193e-08,4.966300873821256e-06,934.3737214750638
