gene_symbol,logfc,pval,pval_adj,scores
FKBP5,1.1386642,0.0,0.0,57.389923
PEX5L,0.6882084,0.0,0.0,55.421947
ENSG00000228793,1.5140339,0.0,0.0,54.466076
SLC44A1,0.44035342,0.0,0.0,53.75712
QDPR,0.80904955,0.0,0.0,51.098923
OTUD7A,0.6974872,0.0,0.0,49.389694
ERBIN,0.5040306,0.0,0.0,46.223885
ELMO1,0.3976206,0.0,0.0,45.460175
NFIB,1.0326169,0.0,0.0,42.564594
MAN2A1,0.5296936,0.0,0.0,41.86398
CDH20,0.67041564,0.0,0.0,41.559807
CCP110,0.7215651,0.0,0.0,41.29377
ADARB2,0.9162416,0.0,0.0,41.22643
AGAP1,0.34606618,0.0,0.0,40.384026
PRKCA,1.0152818,0.0,0.0,40.265163
CEDORA,0.85500395,0.0,0.0,40.063644
MT-ND3,1.2431886,0.0,0.0,39.842617
NCAM1,0.35272166,0.0,0.0,39.41281
CPQ,0.7753306,0.0,0.0,39.37981
ANLN,0.6193147,0.0,0.0,39.057888
PLCL1,0.45627517,0.0,0.0,38.595665
SLC39A11,0.6128652,0.0,0.0,38.40769
MT-CO2,0.9974567,0.0,0.0,38.3315
FRYL,0.3844476,0.0,0.0,37.90984
MT-ATP6,1.1213769,0.0,0.0,37.743492
EFHD1,0.72314745,3.963054337661504e-303,4.008409292859186e-300,37.214596
NCAM2,0.50655603,3.9550197727917403e-302,3.892167026132239e-299,37.15277
IGF1R,0.8594663,8.332237510797018e-300,7.779318775465154e-297,37.008587
PLD5,1.0768656,7.340639146338197e-294,6.519203721865035e-291,36.63711
ADIPOR2,0.56837326,2.2341637204356965e-293,1.9369135568691567e-290,36.606743
ZNF652,0.65351236,9.987907079525264e-291,8.457666804178462e-288,36.439777
ZBTB16,0.56465834,1.5892829710573734e-285,1.3152038986850246e-282,36.10984
PDE4B,0.34970212,2.2637527936067074e-279,1.791907972191466e-276,35.7156
CDKL1,0.93075436,2.857977091254057e-277,2.2141417414200578e-274,35.579983
MT-ND4,1.0064166,2.8434732661435917e-275,2.1570114284754262e-272,35.45056
PDE1C,0.45807824,3.086342582297582e-273,2.2934674715636644e-270,35.318203
