gene_symbol,logfc,pval,pval_adj,scores
PLCG2,1.1330771,0.0,0.0,46.891685
XIST,2.1311672,0.0,0.0,43.9566
KCNMB4,0.7241989,2.957910204067866e-253,1.5386203764359878e-249,33.99167
PTPRM,1.1543623,4.656122303535875e-193,1.6953872531634825e-189,29.639322
ENSG00000286695,1.0282105,2.4479317922573246e-174,7.427841034972809e-171,28.149244
ALDH3A2,1.0607655,4.8074404037790565e-158,1.2503465713028786e-154,26.785192
ARL17B,0.8548501,1.9455681619080736e-137,3.7285277848103567e-134,24.953724
MT-CO2,0.7424365,1.937075364559693e-123,2.712799545167213e-120,23.629082
PCA3,0.6519267,1.9261105291221167e-122,2.504769163799804e-119,23.531849
BCL6,1.0119867,2.152665001067386e-114,2.52847864576986e-111,22.732203
ENSG00000286619,1.4150039,7.848500071518178e-105,7.520515384318945e-102,21.744143
DLC1,0.4118176,1.4178521118021883e-103,1.2906707773735318e-100,21.610924
MT-CO1,0.6373174,6.861091337496146e-100,6.093318482461212e-97,21.215555
GCNT1,0.655508,1.7858407885260293e-98,1.5482389236145186e-95,21.061716
NSUN2,0.9118666,2.1972804258475295e-98,1.860636624789773e-95,21.051893
MT-ND3,0.9651988,9.349890034261844e-97,7.737458998353234e-94,20.873373
IFNGR2,0.9002906,1.4281814562304888e-95,1.1556209596503236e-92,20.742657
ROR1,0.7647803,5.1261745118574256e-92,4.057701441864187e-89,20.345144
PDE1A,0.48951155,1.0692091810701204e-90,8.283413766196856e-88,20.195644
ZDHHC20,0.4438488,2.370555257681424e-90,1.761564449850939e-87,20.156279
TMPRSS5,1.1216128,2.741080700893677e-87,1.8831741600177466e-84,19.804157
NKTR,0.3562297,1.1255728032953228e-86,7.066268433377465e-84,19.732885
TMEM50B,0.67790633,1.9623754769757532e-86,1.2110850147057818e-83,19.70477
ZNF708,0.36039445,7.58223519510722e-86,4.601405798737402e-83,19.63623
TAF1D,0.5771845,5.295157158978786e-85,3.160774794635009e-82,19.537258
TRA2A,0.3672536,7.961919385880354e-85,4.601736645693261e-82,19.516424
C1QTNF7-AS1,0.5958252,1.8110483055340153e-84,1.0303732953297588e-81,19.47438
SHC2,0.9689473,2.457599967376249e-84,1.3767096924939072e-81,19.458738
CNTNAP4,0.40709752,4.323598566946505e-84,2.3853162275705476e-81,19.429762
DDX5,0.36197555,5.705217456321274e-84,3.100572806262242e-81,19.415524
PTPN13,0.46746978,2.834878118631947e-83,1.5179938537592124e-80,19.332993
CLDND1,0.31339186,1.9517803965766376e-82,1.0299743159441816e-79,19.233206
ZDHHC11B,0.64902717,5.691089336860911e-82,2.9603420704825643e-79,19.177635
MT-ND4,0.6973456,7.41937253748667e-81,3.804988631478375e-78,19.043636
APIP,0.7585371,1.1556402137730422e-80,5.844329369986669e-78,19.020416
CEDORA,0.478312,3.5998226282093204e-78,1.7955718018953118e-75,18.716982
PIGC,0.5379942,6.8492265426043145e-77,3.3252538249241105e-74,18.559378
DIP2C,0.22823378,1.6924040345681225e-76,8.003092948921362e-74,18.510715
SLC6A15,0.71576655,5.937597017706639e-75,2.736706108971318e-72,18.318075
KDM6A,0.3312679,1.463287654139552e-73,6.660153757816171e-71,18.142818
SLC7A14,0.5440628,6.882525440507868e-73,3.093907609132994e-70,18.057537
ZNF280D,0.32955554,4.779707920165057e-70,2.0718895808220246e-67,17.692623
MALAT1,0.1549046,9.396779360324489e-70,4.02535917727218e-67,17.654497
PDE5A,0.5252065,1.2251234044346467e-69,5.1871155118923664e-67,17.639513
PLA2G4C,0.50252146,2.891249768243168e-69,1.196320301832616e-66,17.590923
PCGF3-AS1,0.5664444,9.78929449233672e-69,4.0050313601681425e-66,17.521679
CCDC144A,0.44151795,1.0256669270227318e-68,4.14962046075019e-66,17.519026
DNER,0.38379955,2.272838422195786e-67,8.995499198803584e-65,17.341854
PAPOLA,0.43870163,5.3056998013530636e-67,2.0773240985684703e-64,17.293062
FLJ40194,0.67873305,7.547366640220535e-67,2.9235607883373415e-64,17.27274
ANKUB1,0.4619811,1.2077851924665248e-66,4.629249939799063e-64,17.245588
ENSG00000229294,0.48037836,2.1558514311943906e-66,8.17696482423439e-64,17.21207
HP1BP3,0.34774825,1.2926074953229665e-65,4.852208672134006e-63,17.108047
HSP90B1,0.65310544,2.658181974647725e-64,9.776739602108382e-62,16.931002
MET,0.7780174,1.6538292295057316e-61,5.903846069094382e-59,16.548046
RAB11A,0.48924735,5.3816653778468224e-61,1.9024970848364902e-58,16.47685
PWRN1,0.7766705,6.44217298538299e-61,2.2555038725362062e-58,16.46597
CD47,0.39412907,3.713646921062048e-60,1.2878220160924885e-57,16.359632
MT-ATP6,0.66537243,1.8660658567820413e-59,6.291406479365527e-57,16.261019
