gene_symbol,logfc,pval,pval_adj,scores
FKBP5,1.517039,0.0,0.0,79.9349
MT-ND3,2.2083874,0.0,0.0,72.02751
MT-CO2,1.7398932,0.0,0.0,71.765945
PLCG2,1.5153118,0.0,0.0,71.13413
CEDORA,1.333316,0.0,0.0,66.217804
PEX5L,0.65670216,0.0,0.0,64.79235
MT-ATP6,1.7867494,0.0,0.0,64.15162
MT-ND4,1.7037622,0.0,0.0,64.12541
MAN2A1,0.67023873,0.0,0.0,60.303688
QDPR,0.80257624,0.0,0.0,59.543407
ANLN,0.81853646,0.0,0.0,57.65162
MT-ND2,1.7070725,0.0,0.0,57.281948
ERBIN,0.5271946,0.0,0.0,54.573055
MT-CYB,1.5681745,0.0,0.0,53.715332
ZBTB16,0.82867414,0.0,0.0,52.74883
MT-CO3,1.3626053,0.0,0.0,52.5123
CDKL1,1.1721379,0.0,0.0,51.30214
XIST,2.0633779,0.0,0.0,51.190292
NCAM1,0.41672534,0.0,0.0,50.045013
MT-ND1,1.5729231,0.0,0.0,49.81781
ELMO1,0.36477655,0.0,0.0,48.74385
ZNF652,0.8049185,0.0,0.0,48.312172
CPQ,0.81694025,0.0,0.0,48.083298
HP1BP3,0.74602556,0.0,0.0,46.99018
DIP2C,0.45010805,0.0,0.0,46.87671
SLC38A2,0.97591525,0.0,0.0,46.82499
PLCXD1,3.2243872,0.0,0.0,45.31508
PRKCA,0.9473736,0.0,0.0,44.96438
SORT1,0.4693299,0.0,0.0,44.864902
CADM2,0.68457806,0.0,0.0,44.49768
MT-CO1,1.0568728,0.0,0.0,43.98993
CCP110,0.66395235,0.0,0.0,43.664318
CDH20,0.59476453,0.0,0.0,43.617813
PLCL1,0.44983095,0.0,0.0,43.17325
SILC1,0.6795881,0.0,0.0,42.693737
SLC44A1,0.27575323,0.0,0.0,41.916534
ADIPOR2,0.57902783,0.0,0.0,41.884403
LRP4,1.0682641,0.0,0.0,41.79575
ZDHHC20,0.73550826,0.0,0.0,41.337513
NCAM2,0.4416973,0.0,0.0,41.33451
PRUNE2,0.39873156,0.0,0.0,40.97107
NCKAP5,0.44875094,0.0,0.0,40.859127
LDLRAD3,1.1488996,0.0,0.0,40.624863
PAPOLA,0.8033276,0.0,0.0,39.94517
ZSWIM6,0.48471737,0.0,0.0,39.902035
TAFA5,0.9642248,0.0,0.0,39.830166
PLD5,0.95398,0.0,0.0,39.78325
SEM1,0.9706028,0.0,0.0,39.67408
ADAMTSL3,1.0265003,0.0,0.0,39.421864
PNISR,0.63106346,0.0,0.0,39.18742
RFTN2,0.56181544,0.0,0.0,38.827286
ZNF365,0.87094176,0.0,0.0,38.827217
IGF1R,0.7501698,0.0,0.0,38.05973
FRYL,0.32191327,0.0,0.0,37.80168
MAPT,0.5463254,0.0,0.0,37.772934
