gene_symbol,logfc,pval,pval_adj,scores,ensembl_id
MAN2A1,,2.684701892463653e-269,9.775536530838653e-265,35.06064,ENSG00000112893
FKBP5,,2.3555595662361007e-263,4.288531746289445e-259,34.66845,ENSG00000096060
ANLN,,2.1039023682667197e-217,2.55357643444426e-213,31.471933,ENSG00000011426
ERBIN,,2.497482428878482e-196,2.273458255008082e-192,29.892036,ENSG00000112851
QDPR,,2.2134707273293513e-183,1.3432816020586057e-179,28.878656,ENSG00000151552
SLC44A1,,5.465412752679953e-178,2.842951559294035e-174,28.445972,ENSG00000070214
SLC38A2,,6.4183264194270915e-177,2.9213012698022404e-173,28.359352,ENSG00000134294
OTUD7A,,4.378029155027643e-176,1.7712533065874063e-172,28.29165,ENSG00000169918
SORT1,,3.2442412998204174e-164,1.0739028564460093e-160,27.309805,ENSG00000134243
CEDORA,,4.938180749645629e-153,1.2843502675435476e-149,26.351461,ENSG00000260788
PEX5L,,4.860498287332548e-151,1.1061278977397046e-147,26.176977,ENSG00000114757
ENSG00000228793,,9.45580406003763e-148,2.0253219849064129e-144,25.886482,ENSG00000228793
CDKL1,,4.524887668870909e-142,9.153344988829309e-139,25.37701,ENSG00000100490
HSP90AA1,,7.60531174762667e-142,1.4574979544978017e-138,25.356571,ENSG00000080824
FRYL,,4.317912346799776e-134,7.861191218583672e-131,24.643526,ENSG00000075539
ADARB2,,3.468225707664772e-133,6.013573069880461e-130,24.558975,ENSG00000185736
MT-ND3,,4.171107331154479e-130,6.603406962695517e-127,24.268959,ENSG00000198840
TLE4,,1.7427702412560487e-129,2.5383100009846095e-126,24.21007,ENSG00000106829
QKI,,6.927937643082779e-129,9.702310209997314e-126,24.153095,ENSG00000112531
CCP110,,5.211114046239236e-114,6.543002919022864e-111,22.693352,ENSG00000103540
MT-ATP6,,2.6722625403064164e-112,3.2434141205879082e-109,22.519524,ENSG00000198899
MAP4K5,,1.1259049976907012e-111,1.3224662185778649e-108,22.455692,ENSG00000012983
ADIPOR2,,3.435955264827317e-111,3.909687596965383e-108,22.40605,ENSG00000006831
CPQ,,2.830193510160549e-109,3.030970767410762e-106,22.208698,ENSG00000104324
MT-ND1,,4.9245355664384385e-107,4.846275379598822e-104,21.975649,ENSG00000198888
AMER2,,5.015655101383041e-102,4.565750838788981e-99,21.445635,ENSG00000165566
SPOCK3,,3.384311098873997e-101,3.005598432492683e-98,21.35662,ENSG00000196104
CADM2,,1.0851845521405212e-95,8.980395434668332e-93,20.755861,ENSG00000175161
LRRC1,,1.0981459603285876e-93,8.507593767549899e-91,20.532736,ENSG00000137269
HSPA1A,,1.555911679091176e-92,1.180288667897248e-89,20.403522,ENSG00000204389
NCAM2,,1.8597069787923044e-91,1.3819520512609264e-88,20.281858,ENSG00000154654
GPRC5B,,3.1138465832933277e-91,2.2676276358175328e-88,20.25649,ENSG00000167191
RTN4,,4.981433037200673e-90,3.556547838246096e-87,20.119493,ENSG00000115310
CHORDC1,,1.2855422644084047e-85,8.358779452078363e-83,19.609394,ENSG00000110172
IGF1R,,1.0158919116601713e-84,6.489588822345641e-82,19.503967,ENSG00000140443
PHLPP1,,2.5933140790582035e-82,1.628064693908057e-79,19.218464,ENSG00000081913
ELMO1,,9.647319547533234e-82,5.953867785843731e-79,19.15017,ENSG00000155849
CDH20,,2.5706814423423007e-80,1.5600608779761309e-77,18.97845,ENSG00000101542
NCAM1,,9.609119157380146e-80,5.643342689653643e-77,18.909039,ENSG00000149294
FMNL2,,2.6471904288922684e-79,1.506085904637895e-76,18.85552,ENSG00000157827
HP1BP3,,6.766573421584395e-77,3.6773801705482234e-74,18.56003,ENSG00000127483
PTGES3,,1.8139023299086277e-75,9.712913475975434e-73,18.382507,ENSG00000110958
SEPTIN8,,5.1082780921199786e-74,2.619755237891164e-71,18.20056,ENSG00000164402
TANC2,,1.4969833550135065e-73,7.570577489271083e-71,18.141567,ENSG00000170921
PDS5B,,6.143908385362445e-72,3.064547837367361e-69,17.936274,ENSG00000083642
USP31,,5.2935682311317005e-71,2.604721708540101e-68,17.816174,ENSG00000103404
FIGN,,1.0237360219551524e-70,4.970170137524134e-68,17.779232,ENSG00000182263
MT-ND4,,1.3044741747387824e-70,6.249804427709019e-68,17.765638,ENSG00000198886
