gene_symbol,logfc,pval,pval_adj,scores,ensembl_id
PLCG2,5.876093,0.0,0.0,77.79884,ENSG00000197943
XIST,10.079494,0.0,0.0,51.64247,ENSG00000229807
FKBP5,3.0350504,0.0,0.0,48.974903,ENSG00000096060
DIP2C,1.0995184,0.0,0.0,45.105423,ENSG00000151240
ZBTB16,1.7877915,0.0,0.0,44.648834,ENSG00000109906
SPOCK1,1.0089772,0.0,0.0,42.69697,ENSG00000152377
KCNMB4,1.8166269,0.0,0.0,40.767212,ENSG00000135643
KCNIP4,1.5826755,0.0,0.0,39.727158,ENSG00000185774
NFASC,1.2042212,0.0,0.0,39.459927,ENSG00000163531
KAZN,1.7258517,0.0,0.0,37.81418,ENSG00000189337
SLC7A14-AS1,1.1382788,1.54868992609028e-267,2.0885517625481213e-264,34.94488,ENSG00000285051
PTPRM,3.2717779,3.825188740546926e-260,4.9743847293140954e-257,34.45473,ENSG00000173482
NRG3,1.7588596,4.673880219614906e-257,5.868459536435102e-254,34.247982,ENSG00000185737
CSMD1,1.4995509,1.6677671951235532e-256,2.0242246369612942e-253,34.21085,ENSG00000183117
HPN-AS1,1.8098878,2.449971703116207e-252,2.87768934367314e-249,33.92947,ENSG00000227392
DYSF,1.8322862,3.005154732838927e-249,3.3158695191554853e-246,33.71939,ENSG00000135636
SLC22A23,1.2798725,1.039016167873363e-244,1.1127251971942616e-241,33.40829,ENSG00000137266
MT-ND3,2.1648521,1.4876826252739885e-227,1.504708326429902e-224,32.2053,ENSG00000198840
NEAT1,0.96241164,5.236313245759091e-225,5.153098321745406e-222,32.022892,ENSG00000245532
OPCML,1.8007804,7.840609314655292e-224,7.512954378032329e-221,31.938353,ENSG00000183715
EPCAM-DT,1.8753935,5.674624854890707e-222,5.2980625696482165e-219,31.804136,ENSG00000234690
PIP4K2A,0.47513983,1.0740670458464903e-220,9.7772323183406e-218,31.711632,ENSG00000150867
DLGAP1,1.6446384,2.013493633914458e-218,1.7881787853193475e-215,31.54633,ENSG00000170579
KDM6A,1.140176,4.849273670768051e-211,4.204089354762055e-208,31.00341,ENSG00000147050
PRUNE2,0.7160311,7.217478180977056e-206,6.111693384319455e-203,30.617237,ENSG00000106772
ENSG00000286749,1.4202716,1.825878215136855e-204,1.477419501545848e-201,30.511648,ENSG00000286749
NDRG1,1.2458917,8.448517307559381e-202,6.687552439192439e-199,30.310059,ENSG00000104419
FRMD4A,1.4498276,2.795701150803863e-200,2.165895112831282e-197,30.194515,ENSG00000151474
MT-ND4,1.787855,5.0493743350163446e-197,3.7522003731962275e-194,29.945408,ENSG00000198886
AGAP1,0.54231936,1.0668223217259523e-194,7.769026875737075e-192,29.766308,ENSG00000157985
NALF1,1.6504223,2.3428901219414438e-194,1.672731669022193e-191,29.739897,ENSG00000204442
RBFOX1,1.2156874,6.632892048199121e-193,4.644555101135124e-190,29.627394,ENSG00000078328
CLMN,0.7386982,1.905498832526463e-189,1.3091136507538409e-186,29.357702,ENSG00000165959
SNHG14,0.8691721,2.1628417687890757e-188,1.458396194169404e-185,29.274935,ENSG00000224078
FAM53B,1.284753,1.265251514092499e-187,8.376425114752013e-185,29.214603,ENSG00000189319
PHACTR3,0.9663645,1.1156604285088787e-185,7.254183486225945e-183,29.061054,ENSG00000087495
MT-CO2,1.4369462,1.7678923742240044e-181,1.1098706401766284e-178,28.726757,ENSG00000198712
LRRC1,1.2077212,2.693500430489109e-181,1.6623006385588042e-178,28.712114,ENSG00000137269
RPS6KA2,1.4852991,2.061408107000919e-179,1.2106450321309268e-176,28.560823,ENSG00000071242
DDX17,0.801404,7.984255796903581e-174,4.542542532450831e-171,28.107267,ENSG00000100201
TBCD,1.6014876,1.9457216043077397e-169,1.0574270903888569e-166,27.746029,ENSG00000141556
PTPN13,1.2677741,7.9721578324518815e-168,4.2688560440476164e-165,27.612062,ENSG00000163629
BCL6,2.8217971,9.87276891411607e-165,5.135532310011348e-162,27.353273,ENSG00000113916
PCGF3-AS1,1.6062799,2.9556903454699176e-163,1.515811223369727e-160,27.22889,ENSG00000249592
