gene_symbol,logfc,pval,pval_adj,scores,ensembl_id
PLCG2,6.089084,0.0,0.0,100.06551,ENSG00000197943
FKBP5,4.0605288,0.0,0.0,84.88388,ENSG00000096060
XIST,10.682175,0.0,0.0,82.358574,ENSG00000229807
ZBTB16,2.152609,0.0,0.0,68.44476,ENSG00000109906
DIP2C,1.269922,0.0,0.0,64.882965,ENSG00000151240
MT-ND3,3.1021316,0.0,0.0,61.50939,ENSG00000198840
NFASC,1.3796651,0.0,0.0,56.382217,ENSG00000163531
SORT1,1.1917874,0.0,0.0,55.62344,ENSG00000134243
KCNMB4,1.946488,0.0,0.0,55.02183,ENSG00000135643
MT-ND4,2.434552,0.0,0.0,53.993706,ENSG00000198886
LRRC1,1.7474384,0.0,0.0,53.42658,ENSG00000137269
ERBIN,0.9201716,0.0,0.0,53.122974,ENSG00000112851
MT-ATP6,2.449228,0.0,0.0,52.93934,ENSG00000198899
NEAT1,1.1798466,0.0,0.0,52.6281,ENSG00000245532
PRUNE2,0.9380458,0.0,0.0,52.57569,ENSG00000106772
MAN2A1,1.006809,0.0,0.0,52.38456,ENSG00000112893
ELMO1,0.6650356,0.0,0.0,49.43614,ENSG00000155849
MT-CO2,1.9856188,0.0,0.0,49.34629,ENSG00000198712
NDRG1,1.5542724,0.0,0.0,48.792496,ENSG00000104419
EPCAM-DT,2.2461822,0.0,0.0,48.637512,ENSG00000234690
PIP4K2A,0.60825634,0.0,0.0,48.115765,ENSG00000150867
SLC22A23,1.4562098,0.0,0.0,47.537373,ENSG00000137266
KDM6A,1.3814485,0.0,0.0,47.506588,ENSG00000147050
CLMN,0.9310403,0.0,0.0,47.247906,ENSG00000165959
MT-ND1,2.6567302,0.0,0.0,47.199482,ENSG00000198888
AGAP1,0.68077916,0.0,0.0,47.198647,ENSG00000157985
KCNIP4,1.5153115,0.0,0.0,47.04744,ENSG00000185774
MT-ND2,2.4477189,0.0,0.0,46.462944,ENSG00000198763
NCAM1,0.6861957,0.0,0.0,46.182507,ENSG00000149294
FAM53B,1.6074752,0.0,0.0,46.145103,ENSG00000189319
BCL2,2.167137,0.0,0.0,45.46456,ENSG00000171791
ZNF652,1.4715157,0.0,0.0,45.04792,ENSG00000198740
KAZN,1.6453156,0.0,0.0,44.74223,ENSG00000189337
MT-CO3,1.7836003,0.0,0.0,44.366028,ENSG00000198938
EFHD1,1.4577887,0.0,0.0,43.943302,ENSG00000115468
NRG3,1.7352793,0.0,0.0,43.940594,ENSG00000185737
SPOCK1,0.8160404,0.0,0.0,43.89019,ENSG00000152377
HSP90AA1,1.2033242,0.0,0.0,43.635876,ENSG00000080824
MAPT,1.2094103,0.0,0.0,43.232784,ENSG00000186868
OTUD7A,0.9736082,0.0,0.0,43.092346,ENSG00000169918
OPCML,1.7962844,0.0,0.0,42.185196,ENSG00000183715
XPO1,1.6330853,0.0,0.0,41.892727,ENSG00000082898
MSI2,1.6301848,0.0,0.0,41.529465,ENSG00000153944
DOCK5,0.6893595,0.0,0.0,41.30938,ENSG00000147459
ENSG00000286749,1.5246649,0.0,0.0,41.05521,ENSG00000286749
QDPR,1.0859345,0.0,0.0,40.91626,ENSG00000151552
PTPRM,3.1400998,0.0,0.0,40.64735,ENSG00000173482
ATXN1,0.94219,0.0,0.0,40.39321,ENSG00000124788
DIP2B,0.7101901,0.0,0.0,40.3551,ENSG00000066084
CSMD1,1.3787582,0.0,0.0,39.891495,ENSG00000183117
CEDORA,1.4322228,0.0,0.0,39.83799,ENSG00000260788
PTPN13,1.4705235,0.0,0.0,39.459538,ENSG00000163629
CDKL1,1.70449,0.0,0.0,39.154476,ENSG00000100490
CREBRF,1.6858263,0.0,0.0,39.090065,ENSG00000164463
BBS2,1.3974575,0.0,0.0,38.74451,ENSG00000125124
PRKCA,1.5916535,0.0,0.0,38.69763,ENSG00000154229
NALF1,1.6224979,0.0,0.0,38.279537,ENSG00000204442
APOLD1,2.1200402,0.0,0.0,38.17165,ENSG00000178878
AGO2,1.3862141,0.0,0.0,37.7842,ENSG00000123908
SNTG1,1.9779557,3.66282496542187e-305,1.4985481195611362e-302,37.340157,ENSG00000147481
BCL6,2.9073913,1.0510136923845334e-304,4.252167840789515e-302,37.311935,ENSG00000113916
WWOX,1.0577503,2.606886556912122e-304,1.0430983880251009e-301,37.2876,ENSG00000186153
PHACTR3,0.9985688,5.25930243844236e-302,2.0815404390061218e-299,37.145103,ENSG00000087495
TACC1,1.1625688,1.7450229473337493e-299,6.832233931001772e-297,36.98862,ENSG00000147526
JAKMIP3,1.521131,5.060064644873108e-299,1.9600752537140383e-296,36.95985,ENSG00000188385
PREX1,1.1213485,1.8967828005326435e-298,7.270068982420485e-296,36.924107,ENSG00000124126
HSPA1A,2.2998118,3.4080041131390185e-296,1.2793015027589478e-293,36.78335,ENSG00000204389
ENSG00000286558,1.9469638,1.0078543876958807e-295,3.7446932617124906e-293,36.753883,ENSG00000286558
DOCK9,0.84920734,1.6907177290134811e-292,6.218425651397866e-290,36.551456,ENSG00000088387
MT-CYB,1.5708221,4.367061870077167e-290,1.5901345681324978e-287,36.3993,ENSG00000198727
FRMD4A,1.3756607,2.6667831541544376e-288,9.519892961673665e-286,36.28624,ENSG00000151474
ENSG00000261329,1.3236804,1.1043741316424014e-286,3.904123386540109e-284,36.183556,ENSG00000261329
PDS5B,1.3118434,1.6152908296947225e-285,5.601520922937546e-283,36.109394,ENSG00000083642
PAPOLA,1.3676392,1.5468240521442365e-284,5.313486545912825e-282,36.046818,ENSG00000090060
TOB2,1.5528148,8.936029514580528e-283,3.0409224923823003e-280,35.934196,ENSG00000183864
ADARB2,1.2546268,3.1197995212202706e-282,1.0518346311728934e-279,35.899414,ENSG00000185736
SNHG14,0.8633178,1.1666897785096542e-281,3.897386074779223e-279,35.862682,ENSG00000224078
