gene_id,gene_symbol,log2fc,log2fc_se,pval,pval_adj,base_mean
ENSG00000260971,ENSG00000260971,1.1211563043884563,0.2564287509430917,1.2300402188886784e-05,0.08627654837758997,493.51403386914717
ENSG00000231079,KIF5C-AS1,-2.453210794876691,0.563008790465277,1.316632774042566e-05,0.08627654837758997,60.12673168796906
ENSG00000106013,ANKRD7,1.4260527216170942,0.3281849367893226,1.39103372458091e-05,0.08627654837758997,108.8381310981301
ENSG00000148734,NPFFR1,2.1512514131674667,0.5135124785128278,2.7983167287521102e-05,0.13017069842972628,24.996636126777595
ENSG00000158270,COLEC12,-1.1355062597889893,0.2790096332697546,4.7058686568944535e-05,0.150563396504511,75.98124775408193
ENSG00000223774,ENSG00000223774,-1.387428506578746,0.3428192267897664,5.1852981982058836e-05,0.150563396504511,19.411332899803398
ENSG00000260418,ENSG00000260418,0.8568271791575569,0.21364035863880484,6.0563252795194306e-05,0.150563396504511,104.65880273863894
ENSG00000286438,ENSG00000286438,-2.1392560299042334,0.5407441304414786,7.617256837245375e-05,0.150563396504511,20.06031804185604
ENSG00000128564,VGF,-2.3845439351871627,0.6044397927797742,7.978402838957551e-05,0.150563396504511,6.042098988381064
ENSG00000265218,ENSG00000265218,1.9784330323721655,0.5024450123123044,8.229684884878488e-05,0.150563396504511,16.179503342108724
ENSG00000106404,CLDN15,1.1670967049613659,0.2992941879457843,9.639284204525325e-05,0.150563396504511,84.71253025819017
ENSG00000043143,JADE2,0.6516816947831015,0.16784172105842715,0.00010329629202280255,0.150563396504511,284.859345647437
ENSG00000134294,SLC38A2,1.3288970703287228,0.35105923025215313,0.0001534660012956563,0.150563396504511,1197.7075208300084
ENSG00000249806,ENSG00000249806,-1.7140286876257647,0.4540970742436602,0.0001602732874347295,0.150563396504511,13.980282626963772
ENSG00000183576,SETD3,-0.2934591031302545,0.0778158814426868,0.00016246563992592316,0.150563396504511,269.0290273219363
ENSG00000259868,ENSG00000259868,1.507147943806394,0.40056843361188743,0.00016820783481878325,0.150563396504511,17.30717253852485
