gene_id,gene_symbol,log2fc,log2fc_se,pval,pval_adj,base_mean
ENSG00000197943,PLCG2,5.781012101761582,0.4892699557750048,3.242731182258813e-32,6.054179117277203e-28,2458.54947479769
ENSG00000096060,FKBP5,3.4490105015892385,0.34590373812787856,2.0413703884482298e-23,1.9056192576164226e-19,1052.4511518685085
ENSG00000039319,ZFYVE16,-1.85441717854769,0.23278824091860237,1.6374466576358438e-15,1.0190376366020401e-11,992.8503414292048
ENSG00000157005,SST,-5.3204913246714955,0.6731550003116227,2.704984708741111e-15,1.2625516128049135e-11,4.323162886325569
ENSG00000147571,CRH,-5.184168254741603,0.6793586857775674,2.329872365982328e-14,8.699743414578013e-11,1.2574509264501539
ENSG00000121410,A1BG,-2.1481176574432697,0.28285190471346894,3.0899270754595967e-14,9.614823083138445e-11,21.470664612950504
ENSG00000023191,RNH1,-1.4610071258970263,0.2023548072276006,5.19773398574259e-13,1.3863099073402021e-09,185.3662076226119
ENSG00000103260,METRN,-1.6227601671376057,0.22724008776594512,9.253960892796236e-13,2.1596431233563214e-09,105.49237343666422
ENSG00000197982,C1orf122,-2.05213968993656,0.289167923678242,1.277656072204403e-12,2.6504265408951337e-09,159.923102047911
ENSG00000183943,PRKX,3.457219375052032,0.5011830203748752,5.26961454888018e-12,9.838370362759296e-09,182.86693086076815
ENSG00000255321,ENSG00000255321,-3.435673815429538,0.4995729810464837,6.10313766050312e-12,1.0358689101963022e-08,1.7058570744617996
ENSG00000109906,ZBTB16,1.6964126297129016,0.248835752644559,9.270348560579042e-12,1.442311730216756e-08,1202.7030825753632
ENSG00000205220,PSMB10,-1.8151915462500627,0.2700883702050569,1.8081391935045845e-11,2.4859949374528435e-08,13.529279060761548
ENSG00000137267,TUBB2A,-2.6790871380331645,0.39889421519002133,1.864163316783064e-11,2.4859949374528435e-08,24.945156736083277
ENSG00000167614,TTYH1,-1.1967504828510827,0.1808327943234866,3.641039619793815e-11,4.443049668992598e-08,237.19883070875636
ENSG00000259463,ENSG00000259463,-3.7901477124755845,0.5732767128500853,3.807648350502494e-11,4.443049668992598e-08,2.657857903351343
ENSG00000101460,MAP1LC3A,-2.1282784979841414,0.327823950939687,8.462639413614305e-11,9.113723221565211e-08,58.14220697840631
ENSG00000171791,BCL2,1.540295524243064,0.23762985576977375,9.056819388654426e-11,9.113723221565211e-08,706.3253560511952
ENSG00000128699,ORMDL1,-1.3644313440251687,0.21061492409786012,9.274812062653401e-11,9.113723221565211e-08,91.58922902292423
ENSG00000122863,CHST3,1.3694822661359805,0.21302282457635693,1.286107211805506e-10,1.20058108222044e-07,215.75235759247408
ENSG00000198680,TUSC1,-1.9224569159962916,0.30098454763778776,1.6891974642654038e-10,1.5017769837064327e-07,16.156100626772687
ENSG00000275645,ENSG00000275645,-2.7229194747035925,0.4275942731168216,1.9151141799321722e-10,1.6252355336060752e-07,3.949230533263619
ENSG00000173482,PTPRM,3.525736470899038,0.5548650227108664,2.0948181976978775e-10,1.643257716932736e-07,570.6747889099145
ENSG00000270066,ENSG00000270066,4.206365936208798,0.6621132902035147,2.112382710572344e-10,1.643257716932736e-07,12.959121530971691
ENSG00000153944,MSI2,1.1495170207245675,0.18247585826075544,2.9849804202450895e-10,2.2291833778390325e-07,539.2296921070249
ENSG00000213186,TRIM59,-1.5765182380641192,0.25078886034447734,3.252530812635438e-10,2.273853399253179e-07,546.2586598035351
ENSG00000006128,TAC1,-3.5168362679676757,0.55960173030388,3.288379313328111e-10,2.273853399253179e-07,2.9331319346785927
ENSG00000167792,NDUFV1,-1.2797678834054929,0.20425604213084944,3.7161171877238113e-10,2.477853853385842e-07,131.87373718550933
ENSG00000149809,TM7SF2,-1.8562500182056476,0.296812162670142,4.001854205188941e-10,2.576366138306121e-07,42.99432647759424
ENSG00000256577,SLC6A12-AS1,-3.115018143204493,0.49968161985365267,4.546560805475754e-10,2.829476341274411e-07,16.431252975710564
ENSG00000230358,SPDYE21,-3.115591197743408,0.5037203151650558,6.203915880323747e-10,3.736358370504657e-07,9.36237672436619
ENSG00000106236,NPTX2,2.620505349200302,0.4241341407036464,6.47206772768674e-10,3.776047014872232e-07,71.72713355201982
ENSG00000162729,IGSF8,-1.6894105191805544,0.2751584830849658,8.26396873299667e-10,4.6754029165166005e-07,182.96349008925222
