gene_symbol,logfc,pval,pval_adj,scores
MAN2A1,0.66610444,2.684701892463653e-269,9.775536530838653e-265,35.06064
FKBP5,1.0254784,2.3555595662361007e-263,4.288531746289445e-259,34.66845
ANLN,0.75784034,2.1039023682667197e-217,2.55357643444426e-213,31.471933
ERBIN,0.4834523,2.497482428878482e-196,2.273458255008082e-192,29.892036
QDPR,0.7161661,2.2134707273293513e-183,1.3432816020586057e-179,28.878656
SLC44A1,0.33799785,5.465412752679953e-178,2.842951559294035e-174,28.445972
SLC38A2,1.0316147,6.4183264194270915e-177,2.9213012698022404e-173,28.359352
OTUD7A,0.5860949,4.378029155027643e-176,1.7712533065874063e-172,28.29165
SORT1,0.46988726,3.2442412998204174e-164,1.0739028564460093e-160,27.309805
CEDORA,0.88314784,4.938180749645629e-153,1.2843502675435476e-149,26.351461
PEX5L,0.44636187,4.860498287332548e-151,1.1061278977397046e-147,26.176977
ENSG00000228793,1.0659497,9.45580406003763e-148,2.0253219849064129e-144,25.886482
CDKL1,1.059651,4.524887668870909e-142,9.153344988829309e-139,25.37701
HSP90AA1,0.6197239,7.60531174762667e-142,1.4574979544978017e-138,25.356571
FRYL,0.37253627,4.317912346799776e-134,7.861191218583672e-131,24.643526
ADARB2,0.7992302,3.468225707664772e-133,6.013573069880461e-130,24.558975
MT-ND3,0.93727946,4.171107331154479e-130,6.603406962695517e-127,24.268959
TLE4,0.7099203,1.7427702412560487e-129,2.5383100009846095e-126,24.21007
QKI,0.29053319,6.927937643082779e-129,9.702310209997314e-126,24.153095
CCP110,0.57979226,5.211114046239236e-114,6.543002919022864e-111,22.693352
MT-ATP6,0.8684779,2.6722625403064164e-112,3.2434141205879082e-109,22.519524
MAP4K5,0.45415622,1.1259049976907012e-111,1.3224662185778649e-108,22.455692
ADIPOR2,0.49110165,3.435955264827317e-111,3.909687596965383e-108,22.40605
CPQ,0.6336732,2.830193510160549e-109,3.030970767410762e-106,22.208698
MT-ND1,0.9905543,4.9245355664384385e-107,4.846275379598822e-104,21.975649
AMER2,0.5021285,5.015655101383041e-102,4.565750838788981e-99,21.445635
SPOCK3,0.35921326,3.384311098873997e-101,3.005598432492683e-98,21.35662
CADM2,0.4087109,1.0851845521405212e-95,8.980395434668332e-93,20.755861
LRRC1,0.53971714,1.0981459603285876e-93,8.507593767549899e-91,20.532736
HSPA1A,1.2581352,1.555911679091176e-92,1.180288667897248e-89,20.403522
NCAM2,0.3864899,1.8597069787923044e-91,1.3819520512609264e-88,20.281858
GPRC5B,0.43415037,3.1138465832933277e-91,2.2676276358175328e-88,20.25649
RTN4,0.31531322,4.981433037200673e-90,3.556547838246096e-87,20.119493
CHORDC1,0.8421282,1.2855422644084047e-85,8.358779452078363e-83,19.609394
IGF1R,0.668187,1.0158919116601713e-84,6.489588822345641e-82,19.503967
PHLPP1,0.291632,2.5933140790582035e-82,1.628064693908057e-79,19.218464
ELMO1,0.22545779,9.647319547533234e-82,5.953867785843731e-79,19.15017
CDH20,0.4615168,2.5706814423423007e-80,1.5600608779761309e-77,18.97845
NCAM1,0.24756438,9.609119157380146e-80,5.643342689653643e-77,18.909039
FMNL2,0.3026493,2.6471904288922684e-79,1.506085904637895e-76,18.85552
HP1BP3,0.46591038,6.766573421584395e-77,3.6773801705482234e-74,18.56003
PTGES3,0.73608494,1.8139023299086277e-75,9.712913475975434e-73,18.382507
SEPTIN8,0.6274439,5.1082780921199786e-74,2.619755237891164e-71,18.20056
TANC2,0.6115248,1.4969833550135065e-73,7.570577489271083e-71,18.141567
PDS5B,0.5879529,6.143908385362445e-72,3.064547837367361e-69,17.936274
USP31,0.70271116,5.2935682311317005e-71,2.604721708540101e-68,17.816174
FIGN,0.76947105,1.0237360219551524e-70,4.970170137524134e-68,17.779232
MT-ND4,0.646697,1.3044741747387824e-70,6.249804427709019e-68,17.765638
FANCC,1.0905614,3.390132910163076e-70,1.6031366172059472e-67,17.711967
MT-CYB,0.7514778,7.264370919518129e-70,3.3911573579678736e-67,17.669024
SEM1,0.741924,2.1490225394894706e-69,9.905089709859569e-67,17.607727
UGT8,0.38121992,8.662090013009362e-68,3.8938768093049e-65,17.39721
SELENOP,0.59945935,2.578146289186916e-67,1.1448227156326096e-64,17.334608
ZNF652,0.46079215,1.6264274941495996e-66,7.135117821322316e-64,17.22838
STAG1,0.4948888,1.9328568597654895e-65,8.279903997386001e-63,17.084593
NFIB,0.608479,2.0020730078811873e-65,8.476683995694161e-63,17.08254
LRP4,0.7135566,2.3216092672989763e-65,9.716601912746013e-63,17.0739
WWOX,0.47834247,6.832104065284837e-65,2.7951749800578817e-62,17.01078
PLD5,0.75848883,1.5704242861285168e-64,6.283768033682588e-62,16.96195
SLC39A11,0.39815792,2.6933855333873693e-63,1.0659951526271836e-60,16.79415
EFHD1,0.46979457,5.918038769022683e-62,2.2682908174489888e-59,16.60981
RNF144A,0.39656538,1.1842209527682281e-61,4.491651388770492e-59,16.568146
PANTR1,0.6440919,2.670966974249348e-60,1.0026314377976007e-57,16.37969
BCL2,0.6659115,1.1379199131317209e-59,4.185246452217396e-57,16.291296
NPAS3,0.27804548,4.177195730845418e-59,1.4911769701131701e-56,16.211576
FBXO32,0.73002833,9.27980423870105e-59,3.2490022301882945e-56,16.16245
DIP2B,0.2434687,1.6356712602477802e-58,5.6721963741087785e-56,16.127478
SILC1,0.42359436,3.0124664932795445e-58,1.025139532273783e-55,16.08971
KANSL1,0.39169914,3.2234798741008074e-58,1.086790270145913e-55,16.085518
ZBTB16,0.36481765,2.555498901597203e-57,8.459166000450668e-55,15.956788
ADAMTSL3,0.7567658,7.235027452231426e-57,2.3521591034879528e-54,15.89169
USP32,0.42403114,1.3916527021149116e-56,4.4063354947311445e-54,15.850636
LAMP2,0.35203153,1.7461739955911423e-56,5.481179959264195e-54,15.836369
TCF12,0.25602758,3.1723345181777325e-56,9.872738844092956e-54,15.798773
BBS9,0.45953643,1.788141148855957e-55,5.517779280690094e-53,15.689373
MT-CO2,0.54867274,3.2017317031234586e-54,9.715121231177615e-52,15.505149
HNRNPA2B1,0.37940168,7.431499510911925e-54,2.2363285966225206e-51,15.450972
CADM1,0.34076968,3.2676488898217208e-52,9.752592735753156e-50,15.2051735
PHYHIPL,0.50180197,6.417766343252717e-52,1.8998675454513652e-49,15.160906
NUFIP2,0.5327748,8.28621319285775e-52,2.4332064095027127e-49,15.144115
MBNL1,0.38599136,2.538305093382159e-51,7.335298814304062e-49,15.070333
HSPA1B,1.4808496,1.3581301884946252e-49,3.8040181864204843e-47,14.805086
ANAPC16,0.49999973,3.434397803036363e-49,9.473734303345457e-47,14.742575
RASSF2,0.57163405,1.0471861482505498e-48,2.866927972187896e-46,14.667105
KLHL24,0.42422995,1.4756008203325292e-48,4.009669930593138e-46,14.643811
ENSG00000227088,0.65998733,2.1475739457475615e-48,5.792404630560015e-46,14.61828
ACER3,0.42125976,2.361751643704625e-48,6.323242709600941e-46,14.611806
PRUNE2,0.22201473,3.000897802430569e-48,7.975816845408896e-46,14.595481
CORO2B,0.5135031,3.888883395931291e-48,1.0261016102365954e-45,14.577793
CA2,0.5607081,2.1622857026083318e-47,5.623796214526756e-45,14.460181
MT-CO3,0.5140224,3.0906197052537406e-47,7.948402922356768e-45,14.435574
PRKCA,0.5334945,1.5344071087627207e-46,3.879918864185291e-44,14.3246765
NFKBIZ,0.7793664,3.115958088086129e-45,7.513792443933253e-43,14.113956
ST6GALNAC3,0.41852298,9.883450947683962e-45,2.3676066835991343e-42,14.032341
DNAJB6,0.57817465,1.9459455412649454e-43,4.484542344844252e-41,13.819434
