gene_symbol,logfc,pval,pval_adj,scores
PLCG2,2.6045566,0.0,0.0,65.22983
XIST,2.7461774,0.0,0.0,43.15964
KCNMB4,1.0875136,1.7270934791101753e-225,1.0481154626893284e-221,32.057476
DIP2C,0.5337916,8.0044208212219055e-165,3.2384107882481338e-161,27.360931
MT-ND3,1.3448881,4.803748690840772e-155,1.7491409733089418e-151,26.526438
ZBTB16,0.7886747,1.3932955888445912e-145,4.2277232484174374e-142,25.693176
PTPN13,0.9159232,4.1796453651291643e-137,1.1706865156544857e-133,24.923111
PTPRM,1.4673303,5.0554322073538887e-135,1.3148456966726414e-131,24.730268
MT-CO2,0.9599732,2.3019420997717178e-123,4.930489160993399e-120,23.62179
MT-ND4,1.0685074,1.1560362786251181e-120,2.3385329431832116e-117,23.357512
PCGF3-AS1,1.0816528,4.5589253468001655e-120,8.73682051198356e-117,23.298803
SLC22A23,0.6904229,4.898003290407478e-117,8.917304790515855e-114,22.99785
FKBP5,0.87873036,5.848841173868588e-115,1.0141333562995383e-111,22.789341
ZDHHC20,0.77346915,3.771715054332757e-113,6.24253129810747e-110,22.606133
SPOCK1,0.4408412,1.0354199174757028e-112,1.570904584796887e-109,22.561504
KCNIP4,0.69570976,7.527584494478856e-110,1.0542092562037081e-106,22.268131
CSMD1,0.72349393,1.0564069391427947e-105,1.3737817667166943e-102,21.835985
KAZN,0.75392187,2.9300259173645402e-102,3.4415517323573432e-99,21.470633
MT-CO3,0.86619765,6.646656663058981e-94,7.11817830633246e-91,20.557117
HPN-AS1,0.79532963,7.387261732478407e-94,7.68528497722868e-91,20.55199
MT-ATP6,0.96166366,7.76849796303361e-92,7.857404106388328e-89,20.324749
DLGAP1,0.7827723,2.072183453327149e-91,2.0392525379067066e-88,20.276537
RBFOX1,0.6738675,2.24845971848371e-91,2.1544977702481277e-88,20.27252
NRG3,0.7366474,8.636237213203837e-90,7.487206414456622e-87,20.092194
SLC7A14-AS1,0.54841816,3.1352523781882744e-85,2.4817567303172056e-82,19.563995
TXNIP,0.99389535,1.3044307905957733e-83,1.0105730627058147e-80,19.372995
GRID2,0.80640227,7.888592257026171e-82,5.984154609642436e-79,19.160648
ALDH3A2,1.098775,9.762980977730527e-82,7.25489108900253e-79,19.149548
OPCML,0.7726226,7.631593704956754e-81,5.557631799697707e-78,19.042158
NALF1,0.7624226,1.9566682598290053e-79,1.370119320709495e-76,18.8715
