gene_symbol,logfc,pval,pval_adj,scores
PLCG2,2.8175476,0.0,0.0,97.618324
XIST,3.348857,0.0,0.0,80.807106
FKBP5,1.9042088,0.0,0.0,71.383484
MT-ND3,2.2821674,0.0,0.0,66.49129
MAN2A1,0.89100206,0.0,0.0,62.976818
MT-ATP6,1.8301415,0.0,0.0,56.338253
MT-ND4,1.7152044,0.0,0.0,55.345234
ZBTB16,1.1534923,0.0,0.0,54.848347
MT-CO2,1.5086459,0.0,0.0,51.96766
DIP2C,0.70419514,0.0,0.0,51.457848
KCNMB4,1.2173747,0.0,0.0,50.09808
SORT1,0.699413,0.0,0.0,47.41058
MT-CO3,1.38022,0.0,0.0,47.067482
MT-ND1,1.7399487,0.0,0.0,46.95033
HSP90AA1,0.90377265,0.0,0.0,46.884758
ANLN,0.8315705,0.0,0.0,44.910942
MT-ND2,1.5239817,0.0,0.0,44.017685
PTPN13,1.1186726,0.0,0.0,41.405876
MT-CYB,1.3658575,0.0,0.0,41.083332
LRRC1,0.9130696,0.0,0.0,40.923542
QDPR,0.7440166,0.0,0.0,40.570297
CDKL1,1.2667494,0.0,0.0,40.46785
CEDORA,1.0315752,0.0,0.0,39.998714
SLC22A23,0.86676,0.0,0.0,39.928585
BCL2,1.2701452,0.0,0.0,39.39304
PTGES3,1.2146399,0.0,0.0,39.054176
CHORDC1,1.325206,0.0,0.0,39.020115
ELMO1,0.38539612,0.0,0.0,38.98557
EPCAM-DT,1.1484858,0.0,0.0,38.654285
KDM6A,0.77665114,0.0,0.0,38.22145
NEAT1,0.64558184,0.0,0.0,38.116325
XPO1,1.0126956,0.0,0.0,38.07345
NDRG1,0.8122333,3.17107843541907e-310,2.2204866921245968e-307,37.65083
PRKCA,1.1049455,9.836328437563867e-307,6.757743227708973e-304,37.436836
ZDHHC20,0.8804173,3.776952891258399e-305,2.546785345861126e-302,37.339336
ABCA6,2.2107334,8.417528615812703e-300,5.572710035617676e-297,37.008312
TLE4,0.8236522,1.7770137969424874e-293,1.1554397566833902e-290,36.61299
ZNF652,0.8086904,1.8550173846265613e-289,1.1849981229653044e-286,36.35957
PRUNE2,0.48032382,7.273173391049385e-288,4.566048095084313e-285,36.258602
HP1BP3,0.75367844,6.761001748516399e-286,4.1725694180843923e-283,36.133484
PAPOLA,0.9538173,8.061491573078485e-285,4.892250519315563e-282,36.06488
HSPA1A,1.4615258,1.3542263033738497e-275,7.953240025556228e-273,35.471462
OTUD7A,0.5733683,1.66399770131658e-268,9.467106921928017e-266,35.00861
FAM53B,0.8271132,2.8505000089878754e-264,1.5968062511887157e-261,34.72926
CREBRF,1.0205151,1.7851001137180527e-263,9.848343233439656e-261,34.67644
EFHD1,0.80503094,3.4289366576496364e-261,1.8634991280349038e-258,34.524605
NCAM1,0.3723231,8.987153170636468e-260,4.812356194841398e-257,34.42995
MAPT,0.67621523,1.7358406181396603e-256,9.029346941100188e-254,34.209682
PEX5L,0.42687315,4.63303374537225e-254,2.3760285174154135e-251,34.046116
ERBIN,0.44636202,9.901185227063853e-249,5.007249395664571e-246,33.68404
SEM1,1.0562763,1.3771479148500445e-239,6.512299983833744e-237,33.053684
SEMA4B,1.7675871,1.0637461769128035e-234,4.965785358172949e-232,32.71173
ADIPOR2,0.58662134,6.053955647883389e-234,2.7903371272244295e-231,32.658577
MSI2,0.85901797,3.3807988484022423e-228,1.5387705958502806e-225,32.251232
NFASC,0.5824691,1.8423387340259414e-225,8.180882680896655e-223,32.055466
CPQ,0.7068858,8.314374053819562e-222,3.647505880092505e-219,31.792135
FXR1,0.786961,3.762268346750395e-219,1.6116672357867693e-216,31.599405
NCAM2,0.42076927,7.122292435656267e-217,3.015545490315302e-214,31.4332
PDS5B,0.8004039,3.077080967710362e-216,1.2878468068536747e-213,31.38666
ALDH3A2,1.2061182,1.5625808476586716e-212,6.465533389198585e-210,31.113895
PTPRM,1.3356525,2.779121985675246e-210,1.1370043791281693e-207,30.947104
SLC38A2,0.81195486,1.8394242418017175e-208,7.360122581591664e-206,30.811476
PRKX,1.7347674,3.880243700626607e-206,1.503057804544851e-203,30.637478
JAKMIP3,0.8429648,1.3221589568779057e-198,5.067626519772453e-196,30.066668
IGF1R,0.7814104,2.3785777311714732e-195,9.021747119522467e-193,29.816628
DCC,1.3952446,3.967044389283852e-195,1.4739593908428942e-192,29.799486
SNTG1,1.000705,9.447946754038346e-194,3.4749357293741845e-191,29.693026
MT-CO1,0.7912987,1.2920094478063366e-192,4.657885941933102e-190,29.604908
RHOBTB3,0.95478034,1.0722083553373435e-189,3.7539664071676303e-187,29.37726
PIP4K2A,0.29423374,3.37111580525844e-186,1.158010082085569e-183,29.102158
ITPRID2,0.9882978,8.043513078462978e-185,2.737199983299009e-182,28.99308
SGK1,0.51754135,3.47222300881497e-182,1.1706535573793583e-179,28.78329
ADARB2,0.7020418,6.616835010906459e-181,2.1902926947011452e-178,28.680832
IRS2,1.155879,3.9473229694502925e-180,1.294864179852469e-177,28.618568
GPRC5B,0.52027345,1.3564031710315233e-179,4.40976359496427e-177,28.575457
PACS2,0.686872,3.18928576884876e-179,1.0276838355338147e-176,28.545557
LRP4,0.881382,6.576390707148519e-175,2.0822568559016684e-172,28.195839
NRG3,0.7130672,7.232978790570274e-173,2.2319256247647864e-170,28.028852
OPCML,0.7681266,1.9032771003687598e-172,5.7751771482189405e-170,27.994356
FBXO32,0.9267303,1.9265542724428996e-172,5.797495385800897e-170,27.993923
TMPRSS5,1.2992165,2.51699942687066e-172,7.512211732066759e-170,27.984383
BCL6,1.2086446,2.666613218479877e-172,7.894042317990999e-170,27.982323
AMD1,0.68814003,8.153428634474569e-171,2.394214866439419e-168,27.859983
CORO2B,0.75750476,8.62029286594113e-171,2.5110568306771876e-168,27.857988
HSPH1,1.2451396,3.540519235181186e-169,1.0231538602493441e-166,27.724474
PDK4,0.9778374,6.636393786012575e-169,1.9027115790259046e-166,27.701832
TACC1,0.597083,1.7893175859714638e-166,4.973483354228469e-164,27.49931
ATXN1,0.4609603,4.413285233298545e-166,1.2173980448095956e-163,27.466505
FRYL,0.2904741,2.721206082505205e-165,7.449966607231544e-163,27.400284
BBS2,0.66525316,2.153746898483587e-164,5.852405378177938e-162,27.324781
AGO2,0.6821293,5.769099195730477e-164,1.5560328882588008e-161,27.288746
AGAP1,0.29519287,5.62113351899917e-162,1.4939906109036332e-159,27.12065
STIP1,1.5631098,1.9715747628377654e-161,5.164674839168972e-159,27.074402
NUFIP2,0.73254156,1.6931279153974242e-159,4.372352741521348e-157,26.909657
WWOX,0.55586344,1.578990605950788e-157,4.020573842229377e-155,26.740818
NALF1,0.73449826,7.453533319682438e-157,1.88470871691859e-154,26.682802
RALYL,0.77579087,1.7307080777572723e-155,4.229432384382403e-153,26.56484
ZDHHC11B,0.98947877,4.0020107727193133e-153,9.714747750417042e-151,26.359426
KAZN,0.6733859,1.574603612701707e-151,3.747350767692454e-149,26.219938
FDFT1,0.78596455,1.7781430943278044e-151,4.204269243549611e-149,26.21531
KANSL1L,0.67999,4.8121571684680465e-151,1.1304533343113452e-148,26.177359
KCNIP4,0.6283458,1.4608866278944953e-149,3.40985922403169e-147,26.04684
ENSG00000273118,1.0705421,3.260674382154431e-149,7.562272331401729e-147,26.016045
TOB2,0.7433072,8.532789238901407e-149,1.9664298846004937e-146,25.979095
ZCCHC24,0.6029969,4.629776823087245e-146,1.0470772278400793e-143,25.735956
SILC1,0.5503841,5.137340812686315e-145,1.1546966276020624e-142,25.642416
APOLD1,0.86755395,2.0575702750583528e-143,4.568307857038094e-141,25.498322
DOCK5,0.31208828,1.0309310857260588e-142,2.261341126111883e-140,25.435139
ADAMTSL3,0.8697149,1.2514224458198497e-142,2.728550544742058e-140,25.42753
CTNNA1,0.6285342,2.3028091055991883e-142,4.9615316658625825e-140,25.403572
SSBP3,0.78773093,5.550786147982031e-142,1.1889130895313041e-139,25.368969
SEMA5A,1.2228872,8.608917892287877e-142,1.833145721017463e-139,25.35169
FLCN,0.95045334,2.0079532974027566e-141,4.250790434013324e-139,25.318314
MAP7,0.22932181,1.0797763343171455e-139,2.259587119836546e-137,25.16068
IKZF2,0.68587667,1.0865088067470196e-138,2.2606833526441417e-136,25.068895
METTL7A,1.2293425,1.4731179984814175e-137,3.030461726593524e-135,24.964851
ELF2,0.516851,7.895071045162915e-137,1.6150299263846746e-134,24.897621
CNOT2,0.56360835,1.0444154256658456e-136,2.1245393563879756e-134,24.886398
B3GAT1,0.6474104,1.2433085773348003e-136,2.5150751065508192e-134,24.879404
CSMD1,0.6027011,4.40310578580429e-136,8.857783860370487e-134,24.828608
MPDZ,0.56696415,7.558479232371526e-135,1.5039308514159126e-132,24.714025
